isolate	plasmid	plen	n_contigs	cov_frac	depth_ratio	max_ctg_frac
GCF038428225v1	NZ_CP131656.1	4397	1	0.996	10.59	1.021
GCF038428225v1	NZ_CP131657.1	2920	2	0.991	17.11	0.726
GCF038428225v1	NZ_CP131658.1	1491	4	0.831	23.42	0.364
GCF038429035v1	NZ_CP131660.1	28311	6	0.823	1.97	0.365
GCF038429905v1	NZ_CP131664.1	32304	7	0.904	1.55	0.420
GCF038430005v1	NZ_CP131669.1	33066	3	0.984	1.79	0.985
GCF038430115v1	NZ_CP131671.1	21144	19	0.947	1.32	0.200
GCF038430115v1	NZ_CP131672.1	3011	11	0.964	10.18	0.340
GCF038430115v1	NZ_CP131673.1	2366	11	0.986	8.54	0.257
GCF039830175v1	NZ_CP156176.1	27268	2	0.999	1.49	0.873
GCF045346525v1	NZ_CP150778.1	42165	1	0.508	1.32	0.509
GCF045346765v1	NZ_CP150770.1	42652	10	0.522	6.09	0.272
GCF045347315v1	NZ_CP150755.1	24665	13	0.998	11.58	0.355
GCF045347525v1	NZ_CP150750.1	7876	0	0.000	0.00	0.000
GCF046741595v1	NZ_CP123069.1	20721	1	1.000	4.32	1.005
GCF046741605v1	NZ_CP123071.1	4209	1	0.851	0.66	1.055
GCF046741625v1	NZ_CP123073.1	17907	4	0.999	3.37	0.778
GCF046741635v1	NZ_CP123075.1	32184	1	0.982	1.18	0.983
GCF046741635v1	NZ_CP123076.1	30843	1	0.982	0.89	0.983
GCF046741715v1	NZ_CP123087.1	46979	8	0.992	1.34	0.551
GCF046741755v1	NZ_CP123096.1	4440	11	0.958	22.12	0.243
GCF046741795v1	NZ_CP123105.1	19758	2	1.000	5.52	0.769
GCF046741805v1	NZ_CP123107.1	29139	9	0.972	1.85	0.473
GCF046741915v1	NZ_CP123122.1	7880	2	0.956	0.85	0.554
GCF046741935v1	NZ_CP123127.1	20730	1	1.000	1.94	1.005
GCF046741945v1	NZ_CP123129.1	39466	11	0.996	1.46	0.328
GCF046741965v1	NZ_CP123133.1	7890	1	0.458	0.54	0.463
GCF046741995v1	NZ_CP123140.1	35636	12	0.920	1.91	0.307
GCF046741995v1	NZ_CP123141.1	8049	2	0.950	0.97	0.520
GCF046742015v1	NZ_CP123145.1	27270	1	1.000	1.17	1.003
GCF046742015v1	NZ_CP123146.1	4439	1	0.994	4.92	1.021
GCF046742015v1	NZ_CP123147.1	3897	0	0.000	0.00	0.000
GCF046742015v1	NZ_CP123148.1	2473	2	0.933	5.94	0.510
GCF046742035v1	NZ_CP123152.1	27438	5	0.998	1.28	0.327
GCF046742035v1	NZ_CP123153.1	7872	1	0.528	0.52	0.532
GCF046742085v1	NZ_CP123157.1	20728	1	1.000	1.68	1.005
GCF046742095v1	NZ_CP123161.1	20739	2	1.000	2.54	0.889
GCF046742115v1	NZ_CP123163.1	24885	2	1.000	2.44	0.647
GCF046742125v1	NZ_CP123165.1	20730	2	1.000	3.00	0.890
GCF046742135v1	NZ_CP123167.1	7611	2	0.998	0.66	0.555
GCF046742145v1	NZ_CP123169.1	20638	1	1.000	1.03	1.005
GCF047801755v1	NZ_CP181103.1	27268	1	0.999	2.07	1.005
GCF047801845v1	NZ_CP181105.1	27268	1	1.000	1.72	1.005
GCF047801845v1	NZ_CP181106.1	2701	2	0.977	9.68	0.671
GCF047801865v1	NZ_CP181110.1	27268	1	0.999	1.52	1.005
GCF047801975v1	NZ_CP181116.1	27258	1	1.000	1.66	1.005
GCF047802145v1	NZ_CP181137.1	32737	3	0.982	1.44	0.588
GCF047802195v1	NZ_CP181141.1	27269	1	0.999	1.60	1.005
GCF054392195v1	NZ_CP190358.1	35433	14	0.939	3.74	0.705
GCF055392225v1	NZ_AP044061.1	37988	15	0.920	7.41	0.462
GCF055393085v1	NZ_AP040299.1	21328	1	0.999	1.67	1.006
GCF055393085v1	NZ_AP040300.1	2995	5	0.993	9.31	0.478
GCF055394555v1	NZ_AP040294.1	21326	1	0.998	1.68	1.000
GCF900607255v1	NZ_LR027871.1	25922	24	0.742	0.25	0.114
GCF900607255v1	NZ_LR027872.1	25552	19	0.902	2.77	0.433
GCF900607265v1	NZ_LR027879.1	28654	23	0.846	2.42	0.246
GCF900607305v1	NZ_LR027875.1	23576	4	0.934	1.51	0.810
GCF900620215v1	NZ_LR130510.1	24885	3	1.000	2.03	0.815
GCF900620255v1	NZ_LR130519.1	27037	10	0.961	2.50	0.383
GCF900620255v1	NZ_LR130520.1	3125	1	0.994	7.55	1.014
