isolate	base|NGA50	base|NG50	base|Genome fraction (%)	base|# misassemblies	base|# local misassemblies	base|# mismatches per 100 kbp	base|# indels per 100 kbp	base|Largest alignment	base|# contigs	base|Duplication ratio	model|NGA50	model|NG50	model|Genome fraction (%)	model|# misassemblies	model|# local misassemblies	model|# mismatches per 100 kbp	model|# indels per 100 kbp	model|Largest alignment	model|# contigs	model|Duplication ratio	careful|NGA50	careful|NG50	careful|Genome fraction (%)	careful|# misassemblies	careful|# local misassemblies	careful|# mismatches per 100 kbp	careful|# indels per 100 kbp	careful|Largest alignment	careful|# contigs	careful|Duplication ratio	aggressive|NGA50	aggressive|NG50	aggressive|Genome fraction (%)	aggressive|# misassemblies	aggressive|# local misassemblies	aggressive|# mismatches per 100 kbp	aggressive|# indels per 100 kbp	aggressive|Largest alignment	aggressive|# contigs	aggressive|Duplication ratio	spades|NGA50	spades|NG50	spades|Genome fraction (%)	spades|# misassemblies	spades|# local misassemblies	spades|# mismatches per 100 kbp	spades|# indels per 100 kbp	spades|Largest alignment	spades|# contigs	spades|Duplication ratio
GCF002633805v1	325059.0	325059.0	98.777	0.0	0.0	0.11	0.54	596930.0	27.0	1.0	325059.0	325059.0	98.793	0.0	0.0	0.11	0.54	596930.0	27.0	1.0	325443.0	325443.0	98.769	0.0	0.0	0.11	0.54	596930.0	26.0	1.0	599141.0	599141.0	99.3	1.0	0.0	0.64	0.64	838166.0	28.0	1.006	244105.0	244105.0	98.645	0.0	0.0	0.86	0.54	590051.0	43.0	1.0
GCF002633825v1	542160.0	542160.0	99.144	0.0	2.0	0.15	0.15	1368095.0	18.0	1.0	542160.0	542160.0	99.144	0.0	2.0	0.15	0.15	1368095.0	18.0	1.0	319781.0	319781.0	99.149	0.0	1.0	0.0	0.15	850586.0	20.0	1.0	319781.0	319781.0	99.601	0.0	1.0	0.33	0.18	1311297.0	20.0	1.001	319008.0	319008.0	99.039	0.0	1.0	0.44	0.22	1368360.0	15.0	1.0
GCF002633845v1	169612.0	169612.0	98.576	0.0	1.0	0.18	0.29	546702.0	34.0	1.006	376942.0	376942.0	98.609	0.0	1.0	0.18	0.29	648076.0	26.0	1.004	376942.0	376942.0	98.627	0.0	1.0	0.18	0.29	648076.0	26.0	1.004	377126.0	377126.0	98.757	0.0	1.0	0.22	0.29	648076.0	30.0	1.004	132436.0	132436.0	98.148	0.0	0.0	0.55	0.18	376613.0	37.0	1.0
GCF003031425v1	148685.0	148685.0	98.704	0.0	0.0	6.59	0.6	533592.0	83.0	1.007	245637.0	245637.0	98.776	0.0	0.0	6.66	0.6	594712.0	73.0	1.006	245637.0	245637.0	98.776	0.0	0.0	7.65	0.67	594712.0	76.0	1.006	214959.0	245535.0	98.943	1.0	0.0	7.22	0.67	594712.0	73.0	1.01	150413.0	150413.0	98.115	0.0	1.0	1.32	0.43	533336.0	138.0	1.001
GCF003111725v1	14194.0	14194.0	95.568	2.0	1.0	3.72	0.35	42062.0	395.0	1.012	17440.0	17926.0	95.569	3.0	1.0	3.83	0.35	66519.0	352.0	1.01	18560.0	18560.0	95.615	2.0	1.0	2.88	0.35	66519.0	362.0	1.012	18560.0	18655.0	95.715	3.0	1.0	4.37	0.38	66519.0	349.0	1.014	28223.0	29444.0	95.083	5.0	1.0	7.95	2.07	78810.0	251.0	1.001
GCF003184985v1	92758.0	108281.0	96.787	13.0	3.0	11.61	2.5	303391.0	55.0	1.001	94313.0	108281.0	96.855	13.0	3.0	11.56	2.57	303391.0	47.0	1.001	99175.0	113217.0	97.358	17.0	2.0	11.13	2.23	303492.0	42.0	1.002	95693.0	114507.0	97.564	18.0	4.0	13.59	2.66	308096.0	46.0	1.015	81367.0	98193.0	96.391	8.0	4.0	13.29	2.55	258652.0	45.0	1.0
GCF003194005v1	386464.0	386464.0	98.293	1.0	0.0	0.7	0.35	607295.0	44.0	1.008	386464.0	386464.0	98.292	1.0	0.0	0.7	0.35	607295.0	38.0	1.006	386464.0	386464.0	98.292	1.0	0.0	0.7	0.35	607295.0	37.0	1.006	386464.0	386464.0	98.274	1.0	0.0	0.98	0.35	607295.0	40.0	1.007	384563.0	384563.0	97.846	0.0	1.0	0.39	0.11	608818.0	37.0	1.001
GCF003945405v1	48920.0	48920.0	97.764	1.0	0.0	2.13	0.31	199993.0	103.0	1.005	85375.0	86811.0	98.134	1.0	2.0	2.16	0.31	199993.0	85.0	1.005	76385.0	76385.0	98.324	0.0	0.0	1.98	0.03	200194.0	90.0	1.005	85375.0	86811.0	98.514	1.0	2.0	3.19	0.2	199993.0	88.0	1.01	51383.0	51383.0	96.9	0.0	1.0	0.94	0.42	207881.0	101.0	1.001
GCF003945425v1	62434.0	62434.0	98.091	1.0	0.0	2.86	0.46	203668.0	94.0	1.01	83883.0	83883.0	98.091	1.0	1.0	2.87	0.46	225069.0	86.0	1.007	83883.0	83883.0	97.91	0.0	1.0	1.95	0.1	224790.0	90.0	1.008	83883.0	83883.0	98.674	1.0	1.0	2.22	0.62	225069.0	90.0	1.012	62196.0	62196.0	97.007	0.0	1.0	0.81	0.37	222026.0	97.0	1.001
GCF005931015v2	156892.0	156892.0	99.221	2.0	1.0	0.51	0.4	432723.0	49.0	1.004	182826.0	182826.0	99.221	2.0	1.0	0.51	0.4	589169.0	45.0	1.004	182826.0	182826.0	99.219	2.0	1.0	0.36	0.4	607745.0	52.0	1.004	182826.0	182826.0	99.55	1.0	2.0	0.94	0.4	432723.0	45.0	1.008	340610.0	340610.0	98.935	0.0	1.0	0.11	0.18	462879.0	33.0	1.0
GCF005931035v2	135020.0	135020.0	98.703	0.0	0.0	0.58	0.11	509452.0	54.0	1.002	223997.0	223997.0	98.743	0.0	0.0	0.58	0.15	509452.0	49.0	1.002	223865.0	223865.0	98.692	0.0	0.0	0.58	0.15	509320.0	49.0	1.002	157758.0	157764.0	99.011	1.0	0.0	0.87	0.14	509320.0	45.0	1.005	204038.0	204038.0	98.245	0.0	0.0	0.84	0.0	509241.0	36.0	1.0
GCF005931055v2	228862.0	228862.0	99.408	0.0	0.0	0.68	0.14	565862.0	36.0	1.002	275812.0	275812.0	99.371	0.0	0.0	0.68	0.14	565862.0	32.0	1.002	181149.0	181149.0	99.353	0.0	0.0	0.57	0.14	564964.0	36.0	1.002	276345.0	559363.0	99.439	2.0	0.0	1.18	0.14	748600.0	29.0	1.005	39026.0	39026.0	98.93	0.0	2.0	1.4	0.54	150788.0	138.0	1.004
GCF007185035v1	145661.0	145661.0	98.776	2.0	0.0	0.99	0.68	431315.0	47.0	1.002	145661.0	145661.0	98.776	2.0	0.0	0.99	0.68	431315.0	45.0	1.002	127271.0	143431.0	98.764	3.0	0.0	3.96	0.92	431184.0	53.0	1.002	143217.0	143217.0	98.948	5.0	0.0	3.88	0.72	371872.0	54.0	1.003	73316.0	73316.0	98.507	0.0	0.0	2.09	0.86	292737.0	71.0	1.001
GCF008619075v1	242340.0	242340.0	99.028	0.0	0.0	0.58	0.21	591357.0	44.0	1.002	277048.0	277048.0	99.126	0.0	0.0	0.48	0.24	591357.0	39.0	1.001	278032.0	278032.0	99.127	0.0	0.0	0.48	0.31	590681.0	40.0	1.004	277048.0	277048.0	99.407	0.0	0.0	0.68	0.65	591268.0	39.0	1.006	184157.0	184157.0	98.64	1.0	0.0	0.28	0.21	419723.0	33.0	1.0
GCF008620175v1	29905.0	31275.0	98.158	2.0	0.0	1.89	2.59	90064.0	187.0	1.004	35370.0	35652.0	98.179	2.0	0.0	1.89	2.59	90064.0	175.0	1.003	33756.0	33756.0	97.793	1.0	0.0	1.2	2.07	90064.0	181.0	1.004	35370.0	35652.0	98.18	2.0	0.0	1.89	2.59	90064.0	174.0	1.003	51323.0	51323.0	97.76	1.0	0.0	2.72	2.93	120924.0	108.0	1.001
GCF009176785v1	67139.0	67139.0	97.234	0.0	0.0	0.55	0.03	166684.0	93.0	1.005	68995.0	69007.0	97.232	0.0	3.0	0.48	0.03	166684.0	85.0	1.004	78292.0	78292.0	97.653	0.0	2.0	0.17	0.03	238765.0	80.0	1.005	78297.0	78297.0	97.694	0.0	2.0	0.82	0.03	239787.0	79.0	1.004	77458.0	77458.0	96.622	2.0	0.0	3.88	0.28	195225.0	74.0	1.0
GCF009911895v1	285362.0	285362.0	97.058	8.0	9.0	44.32	4.81	509956.0	34.0	1.001	285365.0	315554.0	97.1	8.0	10.0	44.46	4.85	535429.0	25.0	1.0	316007.0	608998.0	97.137	8.0	9.0	41.42	3.89	608998.0	22.0	1.001	174750.0	174750.0	97.231	9.0	8.0	44.24	4.16	421385.0	42.0	1.005	173788.0	284584.0	96.888	8.0	9.0	41.21	4.05	421410.0	26.0	1.0
GCF009911965v1	108203.0	108203.0	99.093	0.0	0.0	0.83	0.47	304802.0	68.0	1.001	109797.0	109797.0	99.093	0.0	0.0	0.87	0.47	304802.0	65.0	1.001	136500.0	136500.0	99.036	0.0	0.0	0.9	0.47	304802.0	63.0	1.001	109224.0	109224.0	99.113	0.0	0.0	1.01	0.5	304802.0	67.0	1.003	125346.0	125346.0	98.867	0.0	0.0	0.25	0.22	376685.0	237.0	1.0
GCF009912195v1	86767.0	86767.0	98.98	0.0	0.0	0.14	0.36	263023.0	87.0	1.005	99004.0	99004.0	98.98	0.0	0.0	0.14	0.39	263023.0	79.0	1.004	94217.0	94217.0	98.966	0.0	0.0	0.18	0.36	263023.0	81.0	1.004	99004.0	99004.0	99.234	0.0	0.0	0.36	0.43	263023.0	83.0	1.004	92223.0	92223.0	98.072	1.0	0.0	1.37	0.43	249161.0	373.0	1.0
GCF009912375v1	153194.0	153194.0	99.08	1.0	0.0	0.44	0.29	313960.0	59.0	1.003	162059.0	162059.0	99.105	1.0	0.0	0.18	0.25	313960.0	55.0	1.003	123996.0	123996.0	99.162	1.0	0.0	0.18	0.29	313960.0	63.0	1.004	162372.0	162372.0	99.425	1.0	0.0	0.22	0.25	313960.0	59.0	1.004	161814.0	161814.0	98.981	0.0	0.0	0.07	0.11	459620.0	226.0	1.0
GCF009912455v1	620516.0	620516.0	99.117	0.0	0.0	0.0	0.15	992257.0	25.0	1.002	620516.0	620516.0	99.117	0.0	0.0	0.0	0.15	992257.0	25.0	1.002	620117.0	620117.0	99.029	0.0	0.0	0.0	0.15	992257.0	24.0	1.002	621168.0	621168.0	99.592	0.0	0.0	0.04	0.15	992257.0	23.0	1.003	618988.0	618988.0	98.958	0.0	1.0	0.19	0.53	991162.0	123.0	1.001
GCF009912535v1	181322.0	181322.0	99.051	0.0	1.0	0.22	0.07	556817.0	38.0	1.004	264086.0	264086.0	99.051	0.0	1.0	0.22	0.07	581154.0	33.0	1.003	195484.0	195484.0	99.018	0.0	1.0	0.18	0.07	556817.0	36.0	1.003	195484.0	195484.0	99.292	0.0	1.0	0.47	0.11	581154.0	35.0	1.003	181173.0	181173.0	98.705	0.0	0.0	0.51	0.22	544161.0	169.0	1.0
GCF009912595v1	107005.0	107005.0	98.905	0.0	1.0	0.74	0.14	417805.0	65.0	1.005	107005.0	107005.0	98.925	0.0	2.0	0.85	0.14	417805.0	63.0	1.004	116962.0	116962.0	98.917	0.0	3.0	1.1	0.14	417805.0	64.0	1.004	128097.0	128097.0	99.309	0.0	1.0	0.77	0.14	417805.0	58.0	1.005	171076.0	171076.0	98.328	0.0	1.0	0.32	0.07	509441.0	279.0	1.0
GCF009912795v1	78336.0	78336.0	98.519	1.0	0.0	0.52	0.24	240308.0	118.0	1.007	89935.0	89935.0	98.504	1.0	2.0	1.24	0.27	313825.0	110.0	1.007	79579.0	79579.0	98.509	1.0	2.0	1.24	0.27	313825.0	118.0	1.007	78336.0	78336.0	98.455	1.0	1.0	5.45	0.24	313825.0	93.0	1.01	98286.0	98286.0	97.644	0.0	1.0	0.91	0.14	182519.0	293.0	1.001
GCF009912815v1	419941.0	419941.0	99.491	0.0	0.0	0.15	0.07	683200.0	42.0	1.003	730848.0	730848.0	99.491	0.0	0.0	0.15	0.07	916568.0	40.0	1.003	367020.0	367020.0	99.428	0.0	0.0	0.15	0.11	682846.0	46.0	1.003	730848.0	730848.0	99.786	0.0	0.0	0.04	0.04	917103.0	38.0	1.004	786105.0	786105.0	99.221	0.0	0.0	0.07	0.18	1040448.0	234.0	1.0
GCF009913075v1	171088.0	171088.0	98.83	0.0	2.0	5.0	0.61	607186.0	55.0	1.004	171088.0	171088.0	98.83	0.0	2.0	5.0	0.61	607186.0	53.0	1.004	171088.0	171088.0	98.853	0.0	3.0	5.68	0.61	606625.0	58.0	1.004	171088.0	171088.0	99.168	1.0	2.0	5.01	0.68	609147.0	47.0	1.006	174637.0	174637.0	98.611	0.0	1.0	1.87	0.04	607105.0	203.0	1.001
GCF010364725v2	5653.0	5653.0	94.915	1.0	0.0	2.99	0.3	30455.0	713.0	1.005	5781.0	5799.0	94.938	1.0	0.0	2.96	0.3	41743.0	704.0	1.005	5834.0	5834.0	95.191	1.0	0.0	0.91	0.19	41743.0	703.0	1.004	5781.0	5799.0	95.213	2.0	0.0	6.07	0.87	41743.0	718.0	1.006	14366.0	14381.0	97.179	1.0	0.0	14.42	0.74	79324.0	329.0	1.001
GCF011032785v1	301143.0	623045.0	98.961	1.0	0.0	0.69	0.44	716153.0	24.0	1.001	301143.0	623045.0	98.961	1.0	0.0	0.69	0.44	716153.0	24.0	1.001	301143.0	623045.0	98.961	1.0	0.0	0.65	0.44	716153.0	25.0	1.001	266255.0	302353.0	99.175	2.0	0.0	0.94	0.11	716153.0	25.0	1.004	264285.0	264285.0	98.688	0.0	1.0	2.88	0.8	716110.0	23.0	1.0
GCF013836525v1	61160.0	61160.0	97.549	1.0	0.0	3.64	0.63	255525.0	118.0	1.003	78218.0	78218.0	97.611	1.0	0.0	3.92	0.7	321463.0	97.0	1.003	88216.0	88216.0	97.971	2.0	0.0	4.77	0.38	321463.0	92.0	1.004	86245.0	86245.0	97.59	2.0	0.0	15.61	1.08	321463.0	106.0	1.007	95425.0	95425.0	97.017	0.0	0.0	1.24	0.28	380763.0	78.0	1.0
GCF013836745v1	52382.0	52531.0	97.293	4.0	0.0	5.29	0.82	163874.0	121.0	1.006	76446.0	82360.0	97.303	4.0	0.0	5.5	0.82	163874.0	106.0	1.006	78601.0	78601.0	97.338	1.0	2.0	1.39	0.21	184121.0	90.0	1.003	66163.0	66163.0	97.441	5.0	0.0	10.72	1.17	163874.0	117.0	1.008	65471.0	65471.0	96.897	0.0	2.0	3.15	0.86	292134.0	96.0	1.0
GCF014696255v1	205660.0	205660.0	98.899	0.0	0.0	0.28	0.07	487171.0	42.0	1.002	219843.0	219843.0	98.912	0.0	0.0	0.28	0.07	487171.0	38.0	1.002	198296.0	198296.0	98.855	0.0	0.0	0.28	0.07	291481.0	47.0	1.002	196335.0	196335.0	99.329	0.0	0.0	2.67	0.28	291481.0	41.0	1.008	231262.0	231262.0	98.611	0.0	0.0	0.42	0.21	355838.0	54.0	1.001
GCF014696415v1	165281.0	165281.0	99.076	0.0	0.0	0.07	0.54	341113.0	42.0	1.009	204029.0	204029.0	99.076	0.0	0.0	0.07	0.54	549661.0	37.0	1.006	204029.0	204029.0	99.072	0.0	0.0	0.07	0.54	549688.0	39.0	1.007	204029.0	204029.0	99.447	1.0	0.0	0.61	0.68	607662.0	35.0	1.009	202148.0	202148.0	98.278	0.0	1.0	0.18	0.59	338201.0	36.0	1.0
GCF014696535v1	319712.0	320926.0	98.862	0.0	0.0	0.29	0.51	771109.0	43.0	1.004	319712.0	320926.0	98.862	0.0	0.0	0.29	0.54	771109.0	40.0	1.004	318924.0	318924.0	98.949	1.0	0.0	0.47	0.54	771109.0	40.0	1.007	283119.0	283119.0	99.332	0.0	0.0	0.93	0.72	490470.0	42.0	1.007	278960.0	278960.0	98.715	0.0	1.0	0.33	0.25	397485.0	49.0	1.0
GCF014696685v1	397894.0	397894.0	99.072	0.0	0.0	0.0	0.5	803305.0	23.0	1.001	397894.0	397894.0	99.072	0.0	0.0	0.0	0.5	1356395.0	22.0	1.001	314923.0	314923.0	99.072	0.0	0.0	0.0	0.5	866078.0	27.0	1.001	398752.0	398752.0	99.136	1.0	0.0	0.46	0.53	1356702.0	19.0	1.001	397157.0	397157.0	99.001	0.0	0.0	0.39	0.46	1355791.0	30.0	1.0
GCF014696835v1	540871.0	540871.0	99.176	0.0	0.0	0.83	0.18	750338.0	22.0	1.001	540871.0	540871.0	99.176	0.0	0.0	0.83	0.18	1365473.0	21.0	1.001	540871.0	540871.0	99.157	0.0	0.0	0.83	0.18	750165.0	25.0	1.001	540871.0	540871.0	99.411	0.0	0.0	0.97	0.18	750165.0	25.0	1.002	1028589.0	1028589.0	99.076	0.0	0.0	1.4	0.32	1291550.0	25.0	1.0
GCF014696975v1	258942.0	258942.0	98.794	0.0	1.0	0.65	0.18	497839.0	35.0	1.003	258942.0	258942.0	98.827	0.0	1.0	0.65	0.18	497839.0	33.0	1.002	192920.0	192920.0	98.775	0.0	1.0	0.65	0.18	497839.0	37.0	1.003	258942.0	258942.0	99.129	0.0	1.0	1.3	0.18	519203.0	30.0	1.003	292842.0	292842.0	98.445	0.0	1.0	0.18	0.04	498083.0	51.0	1.0
GCF015732455v1	388095.0	435145.0	98.8	1.0	0.0	1.49	0.83	1037812.0	26.0	1.0	388095.0	435145.0	98.757	1.0	0.0	1.49	0.83	1037813.0	23.0	1.001	388095.0	435145.0	98.757	1.0	0.0	1.49	0.83	1037813.0	22.0	1.0	388095.0	435145.0	98.905	1.0	0.0	1.41	0.83	1037813.0	27.0	1.0	251865.0	251865.0	98.7	0.0	1.0	0.51	0.62	1037974.0	20.0	1.0
GCF016591995v1	35068.0	35068.0	98.561	0.0	0.0	0.46	1.65	117162.0	218.0	1.009	35068.0	35068.0	98.561	0.0	0.0	0.46	1.65	117162.0	214.0	1.009	35068.0	35068.0	98.566	1.0	0.0	0.49	1.68	117162.0	220.0	1.011	35068.0	35068.0	98.836	0.0	0.0	0.28	1.51	117162.0	217.0	1.009	51105.0	51105.0	98.286	1.0	0.0	0.6	1.35	121003.0	139.0	1.001
GCF016894285v1	127158.0	127158.0	98.758	1.0	0.0	2.41	0.5	357510.0	58.0	1.001	244195.0	244195.0	98.761	1.0	0.0	2.41	0.5	357510.0	51.0	1.001	244195.0	244195.0	98.833	0.0	0.0	0.36	0.14	357520.0	55.0	1.001	244195.0	244195.0	98.855	1.0	0.0	2.44	0.5	357510.0	55.0	1.001	318287.0	318287.0	98.876	0.0	0.0	1.18	0.68	939272.0	29.0	1.0
GCF017088305v1	697363.0	697363.0	99.002	2.0	2.0	0.87	0.25	707971.0	20.0	1.0	697363.0	697363.0	99.002	2.0	2.0	0.87	0.25	708202.0	16.0	1.0	371798.0	619990.0	99.019	2.0	2.0	1.01	0.22	708202.0	20.0	1.0	697363.0	697363.0	99.002	1.0	2.0	3.24	0.22	708202.0	19.0	1.0	75275.0	75275.0	98.746	0.0	4.0	2.35	0.9	296158.0	60.0	1.001
GCF017088385v1	106177.0	108001.0	98.731	1.0	0.0	0.47	0.69	291737.0	65.0	1.001	108001.0	108125.0	98.747	1.0	0.0	0.47	0.69	291737.0	58.0	1.001	108001.0	108001.0	98.767	0.0	0.0	0.07	0.65	281404.0	60.0	1.001	106177.0	108001.0	98.773	1.0	0.0	0.76	0.69	291737.0	60.0	1.001	110516.0	110516.0	98.535	0.0	2.0	2.18	0.84	294390.0	54.0	1.0
GCF018093065v1	21219.0	21219.0	98.024	0.0	0.0	0.54	0.58	169752.0	251.0	1.008	28066.0	28066.0	98.044	0.0	0.0	0.54	0.58	184898.0	199.0	1.007	26972.0	26972.0	98.034	1.0	0.0	0.58	0.58	184898.0	219.0	1.012	27856.0	27856.0	98.101	0.0	0.0	0.43	0.58	184898.0	193.0	1.004	73454.0	73454.0	98.664	1.0	0.0	0.79	1.59	158831.0	110.0	1.001
GCF018093205v1	23202.0	23202.0	97.9	0.0	0.0	1.12	1.9	75545.0	277.0	1.007	25252.0	25252.0	97.912	0.0	0.0	1.16	1.94	77625.0	256.0	1.007	27126.0	27126.0	97.85	0.0	0.0	1.15	1.97	134931.0	249.0	1.009	26204.0	26266.0	97.881	0.0	0.0	1.19	1.98	77625.0	251.0	1.007	44816.0	46195.0	98.195	0.0	1.0	2.95	2.28	173538.0	174.0	1.001
GCF018409145v1	138863.0	138863.0	98.525	0.0	1.0	0.03	0.14	324852.0	87.0	1.005	163360.0	163360.0	98.63	1.0	1.0	0.55	0.21	330794.0	75.0	1.005	151650.0	151650.0	98.638	2.0	2.0	5.68	0.14	330600.0	77.0	1.005	133297.0	133297.0	98.63	1.0	1.0	0.55	0.21	330794.0	76.0	1.005	90751.0	90751.0	98.475	3.0	0.0	5.71	0.66	307562.0	136.0	1.003
GCF019653615v1	87409.0	87409.0	98.897	0.0	3.0	0.48	0.41	164276.0	89.0	1.008	87409.0	87409.0	98.909	0.0	3.0	0.48	0.48	178009.0	85.0	1.008	88493.0	88493.0	98.834	0.0	3.0	0.31	0.62	179114.0	85.0	1.014	74063.0	74063.0	98.9	0.0	3.0	3.7	0.79	179093.0	88.0	1.017	72097.0	74028.0	97.425	2.0	1.0	5.58	0.95	168765.0	88.0	1.001
GCF021725475v1	284444.0	284444.0	98.908	1.0	0.0	5.81	0.47	546622.0	39.0	1.004	284444.0	284444.0	98.951	1.0	0.0	5.81	0.5	546622.0	38.0	1.003	284444.0	284444.0	98.822	1.0	0.0	4.84	0.43	546622.0	35.0	1.003	284444.0	428923.0	98.802	2.0	0.0	4.85	0.62	546622.0	27.0	1.002	428324.0	428324.0	98.588	2.0	0.0	3.81	0.25	545654.0	27.0	1.001
GCF021869805v1	153945.0	153945.0	98.569	1.0	1.0	1.02	0.42	283820.0	54.0	1.003	153945.0	153945.0	98.605	1.0	2.0	1.02	0.39	283820.0	50.0	1.003	213593.0	213593.0	98.742	2.0	0.0	0.7	0.11	335713.0	54.0	1.006	140107.0	140113.0	98.781	1.0	2.0	1.79	0.46	316293.0	63.0	1.005	189919.0	189919.0	98.149	0.0	0.0	1.17	0.18	433492.0	40.0	1.0
