isolate	base|NGA50	base|NG50	base|Genome fraction (%)	base|# misassemblies	base|# local misassemblies	base|# mismatches per 100 kbp	base|# indels per 100 kbp	base|Largest alignment	base|# contigs	base|Duplication ratio	model|NGA50	model|NG50	model|Genome fraction (%)	model|# misassemblies	model|# local misassemblies	model|# mismatches per 100 kbp	model|# indels per 100 kbp	model|Largest alignment	model|# contigs	model|Duplication ratio	careful|NGA50	careful|NG50	careful|Genome fraction (%)	careful|# misassemblies	careful|# local misassemblies	careful|# mismatches per 100 kbp	careful|# indels per 100 kbp	careful|Largest alignment	careful|# contigs	careful|Duplication ratio	aggressive|NGA50	aggressive|NG50	aggressive|Genome fraction (%)	aggressive|# misassemblies	aggressive|# local misassemblies	aggressive|# mismatches per 100 kbp	aggressive|# indels per 100 kbp	aggressive|Largest alignment	aggressive|# contigs	aggressive|Duplication ratio	spades|NGA50	spades|NG50	spades|Genome fraction (%)	spades|# misassemblies	spades|# local misassemblies	spades|# mismatches per 100 kbp	spades|# indels per 100 kbp	spades|Largest alignment	spades|# contigs	spades|Duplication ratio
GCF003269465v1	198187.0	198187.0	98.983	0.0	0.0	0.79	1.66	371534.0	29.0	1.0	213818.0	213818.0	98.983	0.0	0.0	0.79	1.66	518521.0	27.0	1.0	278295.0	278295.0	98.984	0.0	0.0	0.75	1.43	642747.0	27.0	1.0	193942.0	193942.0	99.459	1.0	0.0	1.34	1.94	372232.0	33.0	1.004	199355.0	199355.0	98.795	0.0	0.0	1.47	1.51	518178.0	23.0	1.0
GCF003957785v1	27544.0	27544.0	95.077	1.0	0.0	12.66	0.62	115693.0	269.0	1.016	27854.0	27854.0	95.071	1.0	0.0	13.93	0.62	162708.0	259.0	1.016	27854.0	27854.0	95.317	2.0	0.0	12.37	0.62	115693.0	259.0	1.015	32146.0	32146.0	96.743	2.0	0.0	14.27	0.58	162708.0	262.0	1.023	25831.0	26596.0	92.776	1.0	2.0	18.13	0.75	115282.0	220.0	1.001
GCF008728475v1	33547.0	33547.0	95.151	4.0	1.0	1.21	0.55	117052.0	200.0	1.016	37124.0	37124.0	95.238	6.0	1.0	1.21	0.56	117052.0	189.0	1.013	36026.0	36041.0	95.225	6.0	2.0	1.21	0.52	117052.0	192.0	1.013	39664.0	39920.0	96.907	7.0	3.0	2.95	0.63	153740.0	184.0	1.026	32054.0	32054.0	92.734	0.0	1.0	1.43	0.37	109616.0	187.0	1.001
GCF009697285v1	12687.0	12740.0	90.609	4.0	1.0	3.13	0.62	50008.0	463.0	1.012	13294.0	13294.0	90.773	4.0	1.0	3.06	0.59	50008.0	453.0	1.01	12897.0	12910.0	91.229	3.0	1.0	3.37	0.58	50008.0	460.0	1.011	13294.0	13351.0	91.864	6.0	1.0	6.22	1.4	50008.0	466.0	1.02	20830.0	21426.0	90.212	9.0	2.0	11.62	2.15	59211.0	318.0	1.0
GCF009938285v1	29568.0	29568.0	95.857	3.0	0.0	1.22	5.57	144893.0	229.0	1.022	32784.0	32784.0	95.937	4.0	0.0	1.23	5.43	144893.0	217.0	1.017	32784.0	32784.0	95.9	1.0	0.0	1.04	5.34	144893.0	218.0	1.017	36537.0	36537.0	97.064	3.0	0.0	3.28	6.37	144893.0	211.0	1.031	29329.0	29329.0	93.252	2.0	2.0	2.81	5.1	143392.0	205.0	1.001
GCF012932975v2	57835.0	58043.0	96.924	2.0	0.0	1.95	0.63	147113.0	160.0	1.013	70222.0	70222.0	96.933	2.0	0.0	1.95	0.66	147113.0	142.0	1.011	70222.0	70222.0	96.932	1.0	0.0	1.29	0.66	146638.0	150.0	1.011	80350.0	83792.0	97.815	3.0	0.0	2.7	0.72	147113.0	146.0	1.021	53810.0	57166.0	95.685	1.0	1.0	2.71	1.0	145619.0	1198.0	1.001
GCF012933055v2	25000.0	25000.0	92.637	1.0	0.0	3.02	0.44	101494.0	302.0	1.002	36896.0	36896.0	92.883	2.0	0.0	3.12	0.47	175714.0	255.0	1.001	37343.0	37343.0	92.899	2.0	0.0	3.12	0.47	175714.0	255.0	1.001	36896.0	36896.0	93.137	2.0	0.0	3.21	0.5	175714.0	260.0	1.002	37252.0	37252.0	93.234	1.0	2.0	4.95	0.87	153556.0	1059.0	1.001
GCF012933075v2	23878.0	23878.0	92.368	0.0	0.0	0.1	0.0	74066.0	303.0	1.002	28355.0	28355.0	92.545	4.0	0.0	0.14	0.03	96416.0	258.0	1.002	28355.0	30136.0	92.612	4.0	0.0	0.14	0.03	96416.0	263.0	1.003	28355.0	30136.0	92.773	4.0	0.0	0.17	0.03	96416.0	263.0	1.002	34029.0	34029.0	92.924	0.0	2.0	2.44	0.48	117298.0	1428.0	1.001
GCF012933195v2	25503.0	25503.0	92.352	1.0	0.0	1.79	0.07	80001.0	300.0	1.004	29699.0	29699.0	92.499	1.0	0.0	1.82	0.17	127545.0	265.0	1.003	29808.0	29808.0	92.499	0.0	0.0	1.76	0.33	127545.0	264.0	1.002	29699.0	29699.0	92.862	2.0	0.0	2.28	0.17	127545.0	266.0	1.003	29671.0	29671.0	92.863	1.0	2.0	2.15	0.43	114063.0	1119.0	1.001
GCF012933245v2	36760.0	36760.0	95.608	4.0	0.0	2.25	0.4	167823.0	217.0	1.014	39729.0	41083.0	95.812	6.0	0.0	2.28	0.4	204475.0	198.0	1.013	36955.0	36955.0	95.918	5.0	0.0	1.47	0.23	204475.0	205.0	1.014	43410.0	43451.0	96.954	5.0	0.0	5.36	0.86	122406.0	205.0	1.02	33772.0	34029.0	93.283	1.0	2.0	2.06	0.17	120973.0	1544.0	1.001
GCF012933285v2	53457.0	53457.0	95.438	3.0	1.0	2.98	0.37	143834.0	223.0	1.015	54596.0	54596.0	95.62	5.0	1.0	2.97	0.37	143834.0	211.0	1.014	54596.0	54596.0	95.569	5.0	1.0	1.0	0.33	143834.0	214.0	1.013	57318.0	57318.0	96.675	5.0	1.0	3.53	0.33	145439.0	221.0	1.025	40984.0	40984.0	93.427	1.0	4.0	3.5	1.04	142367.0	2148.0	1.001
GCF015476295v1	34664.0	34664.0	96.424	5.0	1.0	2.88	2.33	113201.0	236.0	1.017	39961.0	39961.0	96.418	6.0	1.0	2.88	2.36	113201.0	225.0	1.016	39116.0	39116.0	96.377	5.0	1.0	2.85	2.33	113201.0	233.0	1.016	39574.0	39574.0	96.722	8.0	1.0	4.88	2.63	113201.0	226.0	1.022	39269.0	39269.0	94.632	1.0	0.0	1.0	1.51	137782.0	179.0	1.002
GCF015999405v1	38804.0	38804.0	95.196	2.0	0.0	1.24	5.93	112352.0	209.0	1.012	44451.0	45056.0	95.271	2.0	0.0	1.3	6.22	130072.0	200.0	1.011	44451.0	46080.0	95.439	1.0	0.0	0.42	6.3	123163.0	218.0	1.012	45056.0	46080.0	95.948	4.0	0.0	3.55	7.62	123833.0	211.0	1.021	40634.0	40634.0	93.282	4.0	0.0	4.73	4.33	225252.0	151.0	1.002
GCF015999425v1	31191.0	31191.0	95.206	1.0	0.0	1.16	5.46	148168.0	239.0	1.016	33427.0	33427.0	95.213	1.0	0.0	1.22	5.66	148168.0	233.0	1.016	33421.0	33421.0	95.243	1.0	0.0	0.83	5.32	148168.0	244.0	1.018	34610.0	34610.0	96.139	1.0	0.0	4.95	6.44	148168.0	236.0	1.023	33785.0	33785.0	93.21	1.0	0.0	4.36	3.53	206705.0	165.0	1.001
GCF016406445v1	33393.0	33393.0	96.706	2.0	0.0	0.45	0.19	133163.0	194.0	1.028	42133.0	42133.0	96.77	2.0	0.0	0.49	0.19	133163.0	179.0	1.026	40024.0	40024.0	96.819	1.0	0.0	0.45	0.23	133163.0	185.0	1.026	41260.0	41260.0	98.182	0.0	0.0	1.51	0.19	134869.0	195.0	1.038	31201.0	31201.0	92.93	0.0	2.0	2.76	0.52	135247.0	197.0	1.001
GCF016406465v1	31434.0	31434.0	95.727	1.0	1.0	0.92	0.52	140329.0	221.0	1.022	35767.0	36564.0	95.782	4.0	2.0	1.22	0.67	140329.0	209.0	1.022	31450.0	35767.0	95.885	5.0	1.0	1.65	0.67	140329.0	214.0	1.022	42511.0	42511.0	96.938	5.0	1.0	2.73	0.83	131981.0	203.0	1.038	28110.0	28110.0	92.684	0.0	0.0	2.48	0.58	134365.0	221.0	1.001
GCF016406565v1	30551.0	30551.0	95.244	1.0	1.0	2.01	0.29	157128.0	198.0	1.016	40149.0	40149.0	95.362	3.0	1.0	2.07	0.32	157128.0	177.0	1.014	39225.0	39225.0	95.314	3.0	0.0	2.11	0.29	157128.0	185.0	1.015	41822.0	43661.0	96.645	3.0	1.0	4.32	0.35	157128.0	195.0	1.028	26131.0	26131.0	91.97	0.0	1.0	4.16	0.61	155647.0	206.0	1.001
GCF016415485v1	33465.0	33465.0	95.232	2.0	0.0	0.67	0.24	172095.0	211.0	1.009	35615.0	35615.0	95.337	2.0	0.0	0.7	0.23	172095.0	201.0	1.009	33813.0	35532.0	95.212	3.0	0.0	0.6	0.27	172095.0	209.0	1.01	38645.0	38645.0	96.813	3.0	0.0	1.81	0.35	172487.0	211.0	1.034	31766.0	31766.0	92.124	0.0	1.0	1.72	0.53	137096.0	208.0	1.001
GCF016415505v1	30725.0	31002.0	96.078	1.0	0.0	0.79	0.22	89663.0	233.0	1.026	31444.0	32789.0	96.263	1.0	0.0	0.73	0.22	89663.0	223.0	1.024	32789.0	32789.0	96.175	1.0	0.0	0.72	0.28	89663.0	232.0	1.027	34349.0	36053.0	97.264	3.0	0.0	1.75	0.28	111496.0	225.0	1.042	27782.0	27782.0	92.388	0.0	1.0	1.95	0.3	81530.0	221.0	1.001
GCF016415545v1	36071.0	36071.0	96.247	1.0	0.0	0.89	0.17	105468.0	197.0	1.019	45128.0	45128.0	96.434	1.0	0.0	0.89	0.17	140510.0	189.0	1.015	46815.0	46815.0	96.203	1.0	0.0	0.75	0.17	140510.0	190.0	1.017	45378.0	45378.0	97.162	2.0	0.0	2.77	0.2	140751.0	190.0	1.029	34745.0	34745.0	92.74	0.0	1.0	3.35	0.32	79503.0	188.0	1.001
GCF017584065v1	45168.0	45168.0	97.196	3.0	1.0	3.88	3.5	138435.0	196.0	1.019	46576.0	46576.0	97.182	3.0	1.0	3.89	3.5	138435.0	188.0	1.017	45181.0	45181.0	97.224	2.0	1.0	4.01	3.5	149236.0	195.0	1.019	46576.0	46576.0	97.841	2.0	1.0	6.29	4.47	138435.0	190.0	1.033	43846.0	43846.0	94.857	0.0	0.0	2.47	1.27	160677.0	165.0	1.002
GCF018219325v1	31409.0	31409.0	95.536	1.0	1.0	1.61	6.13	160390.0	210.0	1.021	41193.0	41193.0	95.725	1.0	1.0	1.62	6.11	160390.0	197.0	1.017	40149.0	40149.0	95.876	1.0	1.0	2.1	6.45	160390.0	199.0	1.017	45128.0	45128.0	96.89	0.0	1.0	6.12	10.1	160390.0	202.0	1.035	29310.0	29310.0	91.902	0.0	0.0	2.46	0.58	160240.0	206.0	1.001
GCF019175425v1	144530.0	144530.0	98.296	1.0	0.0	0.52	0.07	230314.0	74.0	1.006	144530.0	144530.0	98.296	1.0	0.0	0.52	0.07	230314.0	74.0	1.006	158937.0	158937.0	98.307	0.0	0.0	0.38	0.1	343729.0	76.0	1.007	126915.0	126915.0	98.556	3.0	0.0	2.19	0.1	230314.0	70.0	1.01	101080.0	101080.0	97.41	0.0	0.0	1.06	0.25	181846.0	92.0	1.001
GCF019175445v1	100228.0	100228.0	97.573	1.0	1.0	0.49	0.04	242674.0	92.0	1.01	100228.0	100228.0	97.568	2.0	2.0	0.49	0.04	242674.0	89.0	1.01	100228.0	100228.0	97.574	2.0	2.0	0.49	0.04	242674.0	92.0	1.01	102077.0	102077.0	98.138	2.0	2.0	1.5	0.11	242674.0	92.0	1.017	88568.0	88568.0	96.334	0.0	1.0	0.54	0.08	197876.0	105.0	1.001
GCF019175465v1	158578.0	158578.0	98.157	0.0	0.0	0.5	0.14	444228.0	73.0	1.005	158578.0	158578.0	98.194	0.0	0.0	0.5	0.14	444228.0	70.0	1.005	137443.0	137443.0	98.136	0.0	0.0	0.32	0.14	312885.0	80.0	1.006	158578.0	158578.0	98.597	0.0	0.0	1.12	0.11	444228.0	71.0	1.01	137000.0	137000.0	97.411	0.0	1.0	1.18	0.39	443601.0	75.0	1.0
GCF019175525v1	81177.0	81177.0	98.417	2.0	0.0	0.49	0.22	180514.0	93.0	1.015	81177.0	85496.0	98.334	5.0	1.0	0.52	0.22	180514.0	87.0	1.015	81177.0	85496.0	98.434	4.0	1.0	0.19	0.15	180514.0	89.0	1.014	81263.0	86424.0	98.226	4.0	1.0	0.41	0.15	180514.0	85.0	1.017	76947.0	76947.0	96.59	1.0	1.0	0.89	0.27	179355.0	85.0	1.0
GCF019456555v1	89118.0	89118.0	97.395	0.0	2.0	1.34	0.28	237370.0	86.0	1.003	89118.0	89118.0	97.376	0.0	2.0	1.34	0.28	237370.0	85.0	1.003	89118.0	89118.0	97.417	0.0	2.0	1.34	0.24	237492.0	84.0	1.003	89118.0	89118.0	97.955	0.0	2.0	2.1	0.31	238173.0	92.0	1.01	73182.0	73182.0	96.382	0.0	1.0	0.88	0.24	236871.0	81.0	1.0
GCF019977575v1	33776.0	33776.0	95.1	1.0	0.0	1.23	6.43	105786.0	245.0	1.019	36522.0	36522.0	95.101	1.0	0.0	1.23	6.32	105786.0	233.0	1.017	35521.0	35521.0	94.771	1.0	0.0	0.89	5.95	105786.0	233.0	1.019	38362.0	39495.0	96.017	2.0	0.0	4.14	9.55	106460.0	221.0	1.023	33578.0	33578.0	93.245	1.0	0.0	1.63	2.35	105514.0	201.0	1.002
GCF020162155v1	25879.0	26120.0	92.712	3.0	0.0	1.53	2.7	91789.0	235.0	1.011	26120.0	26120.0	92.719	3.0	0.0	1.53	2.7	108997.0	227.0	1.01	27693.0	27767.0	93.396	3.0	0.0	1.16	3.11	94370.0	225.0	1.01	28231.0	28231.0	94.265	4.0	0.0	4.96	5.48	91962.0	230.0	1.018	28165.0	28165.0	92.11	2.0	1.0	2.46	3.03	137215.0	191.0	1.001
GCF020162175v1	42177.0	42177.0	95.843	2.0	0.0	1.62	0.44	137840.0	193.0	1.023	45933.0	45933.0	95.937	3.0	0.0	1.62	0.44	137840.0	184.0	1.02	45933.0	45933.0	95.954	3.0	0.0	1.45	0.37	137171.0	188.0	1.02	49852.0	49852.0	97.72	6.0	0.0	3.04	0.65	162071.0	185.0	1.033	33560.0	33560.0	93.036	0.0	0.0	2.23	0.57	136643.0	189.0	1.001
GCF021228615v1	26575.0	26575.0	93.967	3.0	1.0	4.16	0.17	116110.0	253.0	1.015	28392.0	28392.0	94.113	3.0	1.0	4.19	0.2	116110.0	240.0	1.015	25030.0	25180.0	94.111	3.0	1.0	2.47	0.13	102574.0	256.0	1.016	28455.0	28455.0	94.822	6.0	1.0	12.98	0.81	116110.0	245.0	1.024	24088.0	24550.0	92.496	1.0	1.0	2.58	0.81	102579.0	342.0	1.004
GCF023299325v1	66250.0	66250.0	95.839	2.0	1.0	6.32	0.32	153105.0	131.0	1.011	66250.0	66250.0	95.974	2.0	1.0	6.31	0.32	153105.0	126.0	1.01	66250.0	66250.0	96.082	0.0	1.0	1.58	0.25	153105.0	132.0	1.009	66250.0	66250.0	96.784	2.0	0.0	2.59	0.43	151527.0	110.0	1.012	62263.0	62263.0	94.605	0.0	0.0	1.76	0.37	150088.0	124.0	1.0
GCF023299725v1	86553.0	86553.0	97.017	2.0	0.0	2.07	0.25	176179.0	125.0	1.011	96125.0	96125.0	97.212	3.0	0.0	2.0	0.25	179909.0	116.0	1.008	86553.0	86553.0	97.057	3.0	0.0	1.86	0.14	179909.0	120.0	1.01	87991.0	87991.0	97.708	3.0	0.0	4.09	0.17	179909.0	128.0	1.016	79728.0	79728.0	95.786	0.0	1.0	1.43	0.39	176146.0	122.0	1.001
GCF023299745v1	66504.0	66504.0	96.647	1.0	0.0	1.03	0.14	219237.0	140.0	1.011	79593.0	79593.0	96.665	2.0	0.0	1.03	0.14	219237.0	135.0	1.01	79593.0	79593.0	96.66	1.0	0.0	0.75	0.18	219237.0	139.0	1.01	67281.0	78613.0	97.336	4.0	1.0	4.03	0.28	219237.0	130.0	1.026	66086.0	66086.0	95.038	0.0	1.0	1.97	0.62	218221.0	130.0	1.001
GCF023299805v1	81788.0	81788.0	97.733	1.0	0.0	0.78	0.15	197944.0	103.0	1.006	81788.0	81788.0	97.672	2.0	0.0	0.78	0.15	197944.0	95.0	1.007	81169.0	81169.0	97.722	1.0	0.0	0.41	0.11	197944.0	98.0	1.007	81523.0	81523.0	98.551	2.0	0.0	1.9	0.15	200282.0	102.0	1.014	79565.0	79565.0	96.501	0.0	1.0	1.21	0.3	197105.0	95.0	1.001
GCF023375205v1	170068.0	170068.0	97.983	0.0	1.0	0.81	0.26	612231.0	71.0	1.004	170068.0	170068.0	98.08	0.0	1.0	0.81	0.26	612231.0	68.0	1.003	170068.0	170068.0	98.046	0.0	1.0	0.67	0.22	612231.0	69.0	1.003	138516.0	138516.0	98.63	0.0	1.0	1.65	0.26	474372.0	71.0	1.006	131551.0	131551.0	97.416	0.0	0.0	0.19	0.15	473209.0	73.0	1.0
GCF023375225v1	144423.0	144423.0	98.816	0.0	1.0	0.42	0.04	443848.0	50.0	1.003	293988.0	293993.0	98.89	0.0	1.0	0.42	0.04	443848.0	41.0	1.002	193352.0	193352.0	98.826	0.0	1.0	0.27	0.0	336486.0	47.0	1.003	143427.0	149655.0	98.721	1.0	0.0	2.94	0.15	443848.0	45.0	1.008	108409.0	108409.0	97.994	0.0	1.0	1.46	0.31	443342.0	55.0	1.0
GCF023375345v1	67304.0	67304.0	97.446	0.0	0.0	0.46	0.5	163086.0	102.0	1.007	72538.0	72538.0	97.439	0.0	0.0	0.57	0.65	163086.0	98.0	1.006	72538.0	72538.0	97.439	0.0	0.0	0.5	0.57	163086.0	100.0	1.006	98054.0	98054.0	98.626	1.0	0.0	1.34	0.3	260985.0	95.0	1.018	66363.0	66363.0	96.138	2.0	1.0	1.25	0.7	162802.0	99.0	1.0
GCF023375365v1	78138.0	78138.0	97.427	1.0	0.0	1.32	0.35	207528.0	97.0	1.009	79366.0	79366.0	97.458	1.0	0.0	1.4	0.35	207528.0	93.0	1.008	79366.0	79366.0	97.438	1.0	0.0	1.32	0.35	207528.0	93.0	1.008	79223.0	81261.0	97.819	1.0	0.0	2.05	0.46	207528.0	93.0	1.01	77917.0	77917.0	95.885	0.0	1.0	0.88	0.16	206933.0	98.0	1.0
GCF023375385v1	80114.0	80114.0	96.958	0.0	0.0	0.18	0.07	159166.0	105.0	1.003	82406.0	101978.0	96.984	3.0	0.0	0.18	0.04	183105.0	99.0	1.003	82406.0	101978.0	96.963	3.0	0.0	0.11	0.07	183105.0	101.0	1.003	82406.0	89549.0	97.979	3.0	0.0	2.71	0.22	172829.0	106.0	1.01	79507.0	79507.0	95.879	1.0	1.0	0.89	0.63	158243.0	101.0	1.0
GCF023375405v1	60816.0	60816.0	97.206	0.0	0.0	0.49	0.11	260468.0	107.0	1.008	61707.0	61707.0	97.175	0.0	0.0	0.49	0.19	260468.0	104.0	1.008	60816.0	60816.0	97.168	0.0	0.0	0.38	0.19	260468.0	106.0	1.007	61825.0	61825.0	97.769	0.0	0.0	1.45	0.26	261285.0	108.0	1.013	59363.0	59363.0	95.954	0.0	1.0	0.65	0.27	260394.0	109.0	1.001
GCF023375425v1	129611.0	129611.0	98.287	1.0	1.0	0.38	0.1	326011.0	71.0	1.005	129611.0	129611.0	98.307	1.0	1.0	0.38	0.1	326011.0	68.0	1.005	129611.0	129611.0	98.299	0.0	1.0	0.27	0.1	326011.0	68.0	1.005	131875.0	131875.0	98.974	1.0	1.0	1.14	0.03	326300.0	72.0	1.013	128629.0	128629.0	97.832	0.0	0.0	1.24	0.48	325469.0	71.0	1.0
GCF023375445v1	115106.0	115106.0	98.743	0.0	0.0	0.15	0.15	272565.0	55.0	1.009	142052.0	142052.0	98.806	0.0	0.0	0.15	0.19	272565.0	50.0	1.008	142052.0	142052.0	98.733	0.0	1.0	0.15	0.19	272565.0	50.0	1.008	143089.0	143089.0	99.208	1.0	0.0	1.0	0.19	273602.0	55.0	1.014	127921.0	127921.0	97.781	0.0	1.0	1.19	0.38	348441.0	50.0	1.0
GCF026409165v1	24290.0	24290.0	95.155	1.0	2.0	0.88	0.47	100303.0	254.0	1.021	25561.0	25561.0	95.212	2.0	2.0	0.85	0.5	100303.0	248.0	1.02	25561.0	25561.0	95.25	2.0	2.0	0.79	0.47	100303.0	249.0	1.02	29118.0	29178.0	96.951	4.0	2.0	3.88	0.45	120576.0	238.0	1.042	21438.0	21438.0	91.025	0.0	0.0	1.48	0.17	85625.0	235.0	1.001
