isolate	stratum	base|NGA50	base|NG50	base|Genome fraction (%)	base|# misassemblies	base|# local misassemblies	base|# mismatches per 100 kbp	base|# indels per 100 kbp	base|Largest alignment	base|# contigs	base|Duplication ratio	clonal|NGA50	clonal|NG50	clonal|Genome fraction (%)	clonal|# misassemblies	clonal|# local misassemblies	clonal|# mismatches per 100 kbp	clonal|# indels per 100 kbp	clonal|Largest alignment	clonal|# contigs	clonal|Duplication ratio	small|NGA50	small|NG50	small|Genome fraction (%)	small|# misassemblies	small|# local misassemblies	small|# mismatches per 100 kbp	small|# indels per 100 kbp	small|Largest alignment	small|# contigs	small|Duplication ratio	spades|NGA50	spades|NG50	spades|Genome fraction (%)	spades|# misassemblies	spades|# local misassemblies	spades|# mismatches per 100 kbp	spades|# indels per 100 kbp	spades|Largest alignment	spades|# contigs	spades|Duplication ratio
GCF022405335v1	clonal	127695.0	148607.0	98.737	1.0	0.0	0.47	0.04	578331.0	39.0	1.008	154247.0	180691.0	98.752	1.0	0.0	0.47	0.04	578331.0	35.0	1.007	154247.0	171326.0	98.746	1.0	0.0	0.48	0.04	578331.0	35.0	1.006	170218.0	170218.0	98.053	0.0	1.0	0.15	0.07	449944.0	36.0	1.0
GCF022405455v1	singleton	661852.0	661852.0	99.001	0.0	0.0	0.14	0.07	884443.0	30.0	1.003	768864.0	768864.0	99.077	0.0	0.0	0.14	0.07	894855.0	25.0	1.002	768864.0	768864.0	99.077	0.0	0.0	0.14	0.07	894855.0	25.0	1.002	661584.0	661584.0	98.79	0.0	0.0	0.0	0.07	884434.0	21.0	1.0
GCF022405575v1	clonal	336002.0	336008.0	99.162	0.0	0.0	1.2	0.21	754625.0	22.0	1.001	682032.0	682032.0	99.162	0.0	0.0	0.67	0.25	754625.0	20.0	1.001	562557.0	562557.0	99.162	0.0	0.0	0.67	0.25	754625.0	21.0	1.001	753346.0	753346.0	99.042	0.0	0.0	0.0	0.07	756255.0	14.0	1.0
GCF022405595v1	singleton	651228.0	651228.0	99.126	0.0	0.0	0.07	0.0	911260.0	28.0	1.002	706145.0	706145.0	99.127	0.0	0.0	0.07	0.0	911260.0	25.0	1.002	706145.0	706145.0	99.127	0.0	0.0	0.07	0.0	1212045.0	25.0	1.002	348953.0	348953.0	98.871	0.0	0.0	0.21	0.04	561718.0	28.0	1.0
GCF022405675v1	singleton	295078.0	295078.0	99.056	0.0	0.0	1.37	0.65	713906.0	29.0	1.003	323614.0	323614.0	99.056	0.0	0.0	1.37	0.65	713906.0	24.0	1.001	307332.0	307332.0	99.056	0.0	0.0	1.37	0.65	713906.0	26.0	1.002	294670.0	294670.0	98.792	0.0	0.0	1.56	0.73	405728.0	25.0	1.0
GCF022405735v1	clonal	673289.0	673289.0	99.096	0.0	0.0	0.0	0.04	797501.0	20.0	1.0	673289.0	673289.0	99.096	0.0	0.0	0.0	0.04	797501.0	19.0	1.0	673289.0	673289.0	99.096	0.0	0.0	0.0	0.04	797501.0	19.0	1.0	654853.0	654853.0	98.895	0.0	0.0	0.07	0.04	796765.0	27.0	1.0
GCF022405915v1	clonal	466510.0	466510.0	99.135	0.0	0.0	0.04	0.04	696144.0	23.0	1.001	696144.0	696144.0	99.135	0.0	0.0	0.07	0.04	816888.0	17.0	1.001	696144.0	696144.0	99.186	0.0	0.0	0.04	0.04	745111.0	19.0	1.001	543448.0	543448.0	98.849	0.0	0.0	0.11	0.0	1022621.0	18.0	1.0
GCF022406315v1	clonal	268456.0	268456.0	99.136	0.0	0.0	0.18	0.04	760051.0	26.0	1.001	382916.0	382916.0	99.159	0.0	0.0	0.18	0.04	1349165.0	20.0	1.001	382916.0	382916.0	99.159	0.0	0.0	0.18	0.04	845201.0	20.0	1.001	268015.0	268015.0	98.857	0.0	0.0	0.33	0.0	758790.0	22.0	1.0
GCF022406795v1	clonal	411365.0	411365.0	99.384	0.0	0.0	0.18	0.11	562727.0	33.0	1.004	411365.0	411365.0	99.423	0.0	0.0	0.18	0.11	562727.0	33.0	1.004	411365.0	411365.0	99.423	0.0	0.0	0.18	0.11	562727.0	33.0	1.004	206557.0	206557.0	98.75	0.0	0.0	0.11	0.07	562463.0	29.0	1.0
GCF030064045v1	clonal	160501.0	160501.0	98.41	0.0	1.0	3.49	0.38	422593.0	41.0	1.001	225532.0	225532.0	98.601	0.0	1.0	3.52	0.38	486146.0	33.0	1.001	224716.0	224716.0	98.513	0.0	1.0	3.49	0.38	486146.0	35.0	1.001	160824.0	160824.0	98.045	0.0	2.0	1.54	0.07	422157.0	45.0	1.001
GCF038024985v1	singleton	140296.0	140296.0	98.527	0.0	0.0	0.0	0.21	299517.0	59.0	1.002	140296.0	145542.0	98.52	1.0	0.0	0.0	0.21	312575.0	55.0	1.002	140296.0	165348.0	98.559	1.0	0.0	0.0	0.21	348653.0	51.0	1.002	112541.0	112541.0	97.7	0.0	0.0	0.18	0.14	298936.0	51.0	1.001
GCF038427395v1	singleton	126826.0	126826.0	98.506	1.0	0.0	1.73	1.87	256004.0	57.0	1.004	140422.0	145197.0	98.539	1.0	0.0	1.73	1.87	256004.0	53.0	1.003	126826.0	126826.0	98.527	1.0	0.0	1.73	1.83	256004.0	56.0	1.003	124938.0	124938.0	97.304	1.0	1.0	1.55	0.56	255217.0	74.0	1.0
GCF038429035v1	clonal	139021.0	139021.0	98.412	0.0	1.0	0.87	0.3	298605.0	59.0	1.004	140688.0	140688.0	98.424	0.0	1.0	0.87	0.3	298605.0	53.0	1.003	140688.0	140688.0	98.424	0.0	1.0	0.87	0.3	298605.0	54.0	1.004	114043.0	114043.0	97.546	0.0	0.0	1.16	0.34	226580.0	64.0	1.0
GCF038430005v1	clonal	333362.0	333362.0	99.002	0.0	0.0	0.0	0.04	685979.0	32.0	1.001	440260.0	454283.0	99.084	3.0	0.0	0.0	0.04	686176.0	25.0	1.001	440260.0	454283.0	99.084	3.0	0.0	0.0	0.04	686176.0	25.0	1.001	284599.0	284599.0	98.572	0.0	0.0	2.33	0.29	684208.0	33.0	1.0
GCF046741905v1	clonal	160697.0	160697.0	98.889	1.0	2.0	1.18	0.15	324171.0	44.0	1.002	180951.0	180951.0	98.983	1.0	2.0	1.18	0.15	324171.0	37.0	1.001	178538.0	178538.0	98.918	1.0	2.0	1.18	0.15	323949.0	40.0	1.002	164039.0	164039.0	97.877	0.0	1.0	1.49	0.34	312420.0	42.0	1.0
GCF046741995v1	clonal	150680.0	150680.0	98.991	0.0	0.0	0.67	0.39	349536.0	48.0	1.001	160450.0	160490.0	98.998	0.0	0.0	0.67	0.39	349536.0	43.0	1.001	152561.0	152561.0	99.016	0.0	0.0	0.67	0.39	349536.0	46.0	1.001	125405.0	125405.0	98.191	0.0	0.0	2.48	0.53	339811.0	64.0	1.0
GCF052377705v1	clonal	65112.0	65112.0	98.518	0.0	1.0	0.81	0.7	163012.0	84.0	1.001	109872.0	109872.0	98.536	0.0	2.0	1.11	0.81	239915.0	66.0	1.001	112511.0	112511.0	98.554	0.0	1.0	1.11	0.81	239915.0	62.0	1.001	112356.0	112356.0	98.549	1.0	0.0	4.8	0.44	248018.0	50.0	1.0
GCF055391865v1	singleton	207712.0	207712.0	98.555	0.0	0.0	0.0	0.0	302748.0	42.0	1.003	207712.0	207712.0	98.555	0.0	0.0	0.0	0.0	302748.0	42.0	1.003	207712.0	207712.0	98.555	0.0	0.0	0.0	0.0	302748.0	42.0	1.003	207484.0	207484.0	97.89	0.0	0.0	0.37	0.15	302662.0	45.0	1.001
GCF055392225v1	singleton	114753.0	114753.0	98.517	0.0	0.0	0.04	0.04	322529.0	63.0	1.003	114753.0	114753.0	98.536	0.0	0.0	0.11	0.11	322529.0	60.0	1.003	114753.0	114753.0	98.536	0.0	0.0	0.11	0.11	322529.0	60.0	1.003	114669.0	114669.0	97.792	0.0	0.0	0.0	0.0	312056.0	59.0	1.001
GCF055394555v1	clonal	212410.0	212410.0	98.654	0.0	0.0	0.98	0.49	342975.0	32.0	1.002	272633.0	272633.0	98.651	0.0	1.0	1.68	0.49	463595.0	27.0	1.002	212410.0	212410.0	98.662	1.0	1.0	1.68	0.49	463595.0	31.0	1.002	116059.0	116059.0	98.308	0.0	0.0	2.68	0.81	261492.0	41.0	1.0
