isolate	plasmid	plen	n_contigs	cov_frac	depth_ratio	max_ctg_frac
GCF046741625v1	NZ_CP123073.1	17907	1	0.999	5.19	1.004
GCF046741635v1	NZ_CP123075.1	32184	2	0.959	1.32	0.896
GCF046741635v1	NZ_CP123076.1	30843	3	0.978	3.16	0.750
GCF046741715v1	NZ_CP123087.1	46979	9	0.956	1.06	0.524
GCF046741755v1	NZ_CP123096.1	4440	1	0.998	29.73	1.017
GCF046741795v1	NZ_CP123105.1	19758	2	1.000	5.32	1.003
GCF046741805v1	NZ_CP123107.1	29139	3	0.972	2.43	0.951
GCF046741915v1	NZ_CP123122.1	7880	2	0.960	0.89	0.577
GCF046741935v1	NZ_CP123127.1	20730	1	1.000	2.00	1.004
GCF046741945v1	NZ_CP123129.1	39466	10	0.982	2.16	0.701
GCF046741965v1	NZ_CP123133.1	7890	0	0.000	0.00	0.000
GCF046741995v1	NZ_CP123140.1	35636	10	0.907	1.83	0.327
GCF046741995v1	NZ_CP123141.1	8049	2	0.446	0.48	0.429
GCF046742015v1	NZ_CP123145.1	27270	3	0.994	2.24	0.937
GCF046742015v1	NZ_CP123146.1	4439	4	0.994	0.07	1.017
GCF046742015v1	NZ_CP123147.1	3897	0	0.000	0.00	0.000
GCF046742015v1	NZ_CP123148.1	2473	9	0.991	0.15	0.525
GCF046742035v1	NZ_CP123152.1	27438	5	1.000	0.14	1.016
GCF046742035v1	NZ_CP123153.1	7872	0	0.000	0.00	0.000
GCF046742085v1	NZ_CP123157.1	20728	3	1.000	2.84	1.003
GCF046742095v1	NZ_CP123161.1	20739	2	1.000	3.44	1.003
GCF046742115v1	NZ_CP123163.1	24885	2	1.000	3.67	1.002
GCF046742125v1	NZ_CP123165.1	20730	1	1.000	3.07	1.004
GCF046742135v1	NZ_CP123167.1	7611	2	0.990	0.96	0.545
GCF046742145v1	NZ_CP123169.1	20638	1	1.000	0.95	1.004
GCF047801755v1	NZ_CP181103.1	27268	1	0.999	2.50	1.005
GCF047801845v1	NZ_CP181105.1	27268	1	1.000	2.22	1.005
GCF047801845v1	NZ_CP181106.1	2701	1	0.996	13.58	1.047
GCF047801865v1	NZ_CP181110.1	27268	1	0.999	2.62	1.005
GCF047801975v1	NZ_CP181116.1	27258	1	1.000	2.81	1.005
GCF047802145v1	NZ_CP181137.1	32737	14	0.998	1.38	0.971
GCF047802195v1	NZ_CP181141.1	27269	1	0.999	2.83	1.005
GCF054392195v1	NZ_CP190358.1	35433	16	0.931	3.38	0.709
GCF055392225v1	NZ_AP044061.1	37988	12	0.916	9.34	0.336
GCF055393085v1	NZ_AP040299.1	21328	1	0.999	3.48	1.006
GCF055393085v1	NZ_AP040300.1	2995	1	0.993	18.52	1.042
GCF055394555v1	NZ_AP040294.1	21326	2	0.999	3.53	1.001
GCF900607255v1	NZ_LR027871.1	25922	18	0.776	0.16	0.120
GCF900607255v1	NZ_LR027872.1	25552	7	0.856	0.78	0.435
GCF900607265v1	NZ_LR027879.1	28654	11	0.786	2.43	0.249
GCF900607305v1	NZ_LR027875.1	23576	4	0.944	1.47	0.807
GCF900620215v1	NZ_LR130510.1	24885	1	1.000	3.70	1.003
GCF900620255v1	NZ_LR130519.1	27037	10	0.962	3.79	0.686
GCF900620255v1	NZ_LR130520.1	3125	1	0.994	11.85	1.022
